Date,Open,High,Low,Close,Change%,Volume,Adjustment
07/10/2021,1390.0,1405.0,1385.0,1405.0,0.357,23227,1
06/10/2021,1445.0,1445.0,1390.0,1400.0,-3.11,24887,1
05/10/2021,1570.0,1570.0,1445.0,1445.0,-6.77,49170,1
04/10/2021,1650.0,1650.0,1550.0,1550.0,-6.06,46488,1
01/10/2021,1660.0,1660.0,1650.0,1650.0,-0.602,10536,1
30/09/2021,1650.0,1665.0,1650.0,1660.0,0.606,84971,1
29/09/2021,1650.0,1650.0,1650.0,1650.0,0,42007,1
28/09/2021,1652.5,1652.5,1650.0,1650.0,-0.151,13592,1
27/09/2021,1645.0,1655.0,1645.0,1652.5,-0.452,14651,1
24/09/2021,1645.0,1660.0,1645.0,1660.0,0,29044,1
23/09/2021,1660.0,1660.0,1645.0,1660.0,0,36672,1
22/09/2021,1670.0,1670.0,1660.0,1660.0,-0.599,9809,1
21/09/2021,1655.0,1670.0,1655.0,1670.0,1.21,29381,1
20/09/2021,1665.0,1665.0,1650.0,1650.0,-0.901,13927,1
17/09/2021,1660.0,1665.0,1660.0,1665.0,0.15,21226,1
16/09/2021,1662.5,1662.5,1662.5,1662.5,0,31053,1
15/09/2021,1682.5,1682.5,1662.5,1662.5,-0.746,15348,1
14/09/2021,1720.0,1720.0,1675.0,1675.0,-2.33,61510,1
13/09/2021,1674.0,1715.0,1674.0,1715.0,2.39,3071,1
10/09/2021,1612.5,1675.0,1612.5,1675.0,3.08,79554,1
09/09/2021,1615.0,1625.0,1612.5,1625.0,0.309,34819,1
08/09/2021,1672.5,1672.5,1620.0,1620.0,-3.14,35842,1
07/09/2021,1710.0,1710.0,1672.5,1672.5,-2.19,32568,1
06/09/2021,1720.0,1720.0,1707.5,1710.0,-1.16,32572,1
03/09/2021,1782.5,1782.5,1720.0,1730.0,-3.89,30526,1
02/09/2021,1792.5,1800.0,1782.5,1800.0,0.418,26209,1
01/09/2021,1745.0,1795.0,1745.0,1792.5,2.72,48869,1
31/08/2021,1712.5,1745.0,1710.0,1745.0,2.05,42132,1
27/08/2021,1675.0,1715.0,1675.0,1710.0,1.79,26819,1
26/08/2021,1602.5,1680.0,1602.5,1680.0,4.84,29125,1
25/08/2021,1580.0,1602.5,1580.0,1602.5,0.156,26958,1
24/08/2021,1580.0,1600.0,1570.0,1600.0,1.27,15470,1
23/08/2021,1540.0,1580.0,1540.0,1580.0,2.93,55822,1
20/08/2021,1565.0,1565.0,1535.0,1535.0,-1.92,14152,1
19/08/2021,1575.0,1575.0,1565.0,1565.0,0.321,13732,1
18/08/2021,1580.0,1580.0,1560.0,1560.0,-2.5,48031,1
17/08/2021,1540.0,1600.0,1540.0,1600.0,3.9,42610,1
16/08/2021,1510.0,1540.0,1510.0,1540.0,1.99,32117,1
13/08/2021,1450.0,1510.0,1450.0,1510.0,2.72,48557,1
12/08/2021,1430.0,1470.0,1430.0,1470.0,2.8,21714,1
11/08/2021,1425.0,1430.0,1425.0,1430.0,0.351,14202,1
10/08/2021,1425.0,1425.0,1425.0,1425.0,0,22796,1
09/08/2021,1417.5,1425.0,1417.5,1425.0,0.529,72932,1
06/08/2021,1420.0,1420.0,1415.0,1417.5,-0.176,20469,1
05/08/2021,1420.0,1420.0,1420.0,1420.0,0,13450,1
04/08/2021,1420.0,1420.0,1420.0,1420.0,0,11932,1
03/08/2021,1425.0,1425.0,1420.0,1420.0,-0.351,16021,1
02/08/2021,1420.0,1425.0,1417.5,1425.0,0.352,49499,1
30/07/2021,1420.0,1420.0,1420.0,1420.0,0,33724,1
29/07/2021,1420.0,1420.0,1420.0,1420.0,0,56911,1
28/07/2021,1405.0,1420.0,1405.0,1420.0,1.07,47408,1
27/07/2021,1420.0,1420.0,1405.0,1405.0,-1.06,62166,1
26/07/2021,1390.0,1420.0,1390.0,1420.0,2.16,294310,1
23/07/2021,1387.5,1390.0,1387.5,1390.0,0.18,15851,1
22/07/2021,1417.5,1417.5,1380.0,1387.5,-1.6,90010,1
21/07/2021,1425.0,1425.0,1410.0,1410.0,0,14412,1
20/07/2021,1425.0,1425.0,1410.0,1410.0,0.356,76846,1
19/07/2021,1407.5,1407.5,1400.0,1405.0,-1.75,28660,1
16/07/2021,1415.0,1430.0,1412.5,1430.0,0,54192,1
15/07/2021,1390.0,1430.0,1390.0,1430.0,2.88,16411,1
14/07/2021,1370.0,1390.0,1370.0,1390.0,1.46,34451,1
13/07/2021,1335.0,1370.0,1335.0,1370.0,2.62,110783,1
12/07/2021,1295.0,1335.0,1295.0,1335.0,3.09,21486,1
09/07/2021,1295.0,1295.0,1295.0,1295.0,0.388,19336,1
08/07/2021,1300.0,1300.0,1290.0,1290.0,-0.769,77184,1
07/07/2021,1300.0,1300.0,1300.0,1300.0,0,9920,1
06/07/2021,1325.0,1325.0,1300.0,1300.0,-2.26,47591,1
05/07/2021,1340.0,1340.0,1330.0,1330.0,-0.746,39748,1
02/07/2021,1325.0,1340.0,1325.0,1340.0,1.52,22500,1
01/07/2021,1307.5,1320.0,1307.5,1320.0,0.956,26811,1
30/06/2021,1280.0,1307.5,1280.0,1307.5,2.15,30946,1
29/06/2021,1270.0,1280.0,1270.0,1280.0,0.787,27513,1
28/06/2021,1255.0,1270.0,1255.0,1270.0,1.2,13146,1
25/06/2021,1255.0,1255.0,1255.0,1255.0,0,29242,1
24/06/2021,1250.0,1255.0,1250.0,1255.0,0.4,15099,1
23/06/2021,1240.0,1250.0,1240.0,1250.0,0,15196,1
22/06/2021,1230.0,1250.0,1230.0,1250.0,1.63,22490,1
21/06/2021,1232.5,1232.5,1230.0,1230.0,-0.203,52439,1
18/06/2021,1230.0,1232.5,1230.0,1232.5,-0.202,26997,1
17/06/2021,1225.0,1235.0,1225.0,1235.0,0.407,21676,1
16/06/2021,1220.0,1230.0,1220.0,1230.0,0.82,71830,1
15/06/2021,1250.0,1250.0,1220.0,1220.0,-2.4,41634,1
14/06/2021,1252.5,1252.5,1250.0,1250.0,-0.2,6952,1
11/06/2021,1252.5,1252.5,1252.5,1252.5,-1.38,2963,1
10/06/2021,1252.5,1270.0,1252.5,1270.0,1.4,13601,1
09/06/2021,1252.5,1252.5,1252.5,1252.5,0,15315,1
08/06/2021,1250.0,1252.5,1240.0,1252.5,0.2,20928,1
07/06/2021,1250.0,1250.0,1250.0,1250.0,0,10505,1
04/06/2021,1230.0,1250.0,1230.0,1250.0,1.63,22710,1
03/06/2021,1277.5,1277.5,1225.0,1230.0,-3.72,41876,1
02/06/2021,1277.5,1277.5,1277.5,1277.5,0,24323,1
01/06/2021,1265.0,1277.5,1260.0,1277.5,1.39,23218,1
28/05/2021,1260.0,1260.0,1260.0,1260.0,1.61,33965,1
27/05/2021,1275.0,1275.0,1240.0,1240.0,-1.59,26501,1
26/05/2021,1275.0,1275.0,1260.0,1260.0,-1.18,31538,1
25/05/2021,1275.0,1275.0,1275.0,1275.0,0,34790,1
24/05/2021,1270.0,1275.0,1270.0,1275.0,0,44678,1
21/05/2021,1275.0,1275.0,1275.0,1275.0,0,17222,1
20/05/2021,1280.0,1285.0,1270.0,1275.0,-0.778,17836,1
19/05/2021,1282.5,1285.0,1282.5,1285.0,0,31207,1
18/05/2021,1300.0,1300.0,1285.0,1285.0,-4.1,29837,1
17/05/2021,1300.0,1340.0,1300.0,1340.0,3.08,14325,1
14/05/2021,1285.0,1300.0,1285.0,1300.0,1.17,24114,1
13/05/2021,1322.5,1322.5,1280.0,1285.0,-3.02,39676,1
12/05/2021,1327.5,1327.5,1325.0,1325.0,-0.188,59914,1
11/05/2021,1330.0,1330.0,1325.0,1327.5,-0.188,48709,1
10/05/2021,1320.0,1330.0,1320.0,1330.0,-0.375,47149,1
07/05/2021,1315.0,1335.0,1315.0,1335.0,1.52,185034,1
06/05/2021,1280.0,1315.0,1280.0,1315.0,2.33,57099,1
05/05/2021,1260.0,1285.0,1260.0,1285.0,1.98,60450,1
04/05/2021,1240.0,1260.0,1240.0,1260.0,1.61,50478,1
30/04/2021,1195.0,1240.0,1195.0,1240.0,-0.8,80480,1
29/04/2021,1225.0,1250.0,1195.0,1250.0,0.806,55726,1
28/04/2021,1210.0,1240.0,1210.0,1240.0,2.48,42278,1
27/04/2021,1155.0,1210.0,1155.0,1210.0,8.52,167137,1
26/04/2021,1115.0,1115.0,1115.0,1115.0,0,8043,1
23/04/2021,1115.0,1120.0,1115.0,1115.0,0,30431,1
22/04/2021,1112.5,1115.0,1112.5,1115.0,0.225,13823,1
21/04/2021,1115.0,1115.0,1112.5,1112.5,-1.11,51917,1
20/04/2021,1105.0,1125.0,1105.0,1125.0,2.27,27677,1
19/04/2021,1097.5,1100.0,1097.5,1100.0,0.228,539161,1
16/04/2021,1095.0,1097.5,1095.0,1097.5,0.228,35425,1
15/04/2021,1095.0,1095.0,1095.0,1095.0,0,53017,1
14/04/2021,1085.0,1095.0,1085.0,1095.0,1.39,36043,1
13/04/2021,1082.5,1085.0,1080.0,1080.0,-0.231,49856,1
12/04/2021,1087.5,1087.5,1072.5,1082.5,-0.46,53095,1
09/04/2021,1072.5,1087.5,1072.5,1087.5,1.4,40861,1
08/04/2021,1095.0,1095.0,1072.5,1072.5,-2.05,35936,1
07/04/2021,1095.0,1095.0,1090.0,1095.0,0,21402,1
06/04/2021,1095.0,1095.0,1095.0,1095.0,0,34486,1
01/04/2021,1095.0,1095.0,1095.0,1095.0,0,21504,1
31/03/2021,1097.5,1097.5,1092.5,1095.0,-0.228,37167,1
30/03/2021,1102.5,1102.5,1097.5,1097.5,-0.679,26925,1
29/03/2021,1095.0,1105.0,1095.0,1105.0,0.913,56126,1
26/03/2021,1092.5,1095.0,1092.5,1095.0,0.922,61119,1
25/03/2021,1105.0,1105.0,1085.0,1085.0,-1.81,29566,1
24/03/2021,1125.0,1125.0,1105.0,1105.0,-5.56,83393,1
23/03/2021,1125.0,1170.0,1125.0,1170.0,2.63,33589,1
22/03/2021,1130.0,1140.0,1130.0,1140.0,2.7,49685,1
19/03/2021,1145.0,1145.0,1110.0,1110.0,-2.63,232191,1
18/03/2021,1130.0,1140.0,1130.0,1140.0,0.885,15472,1
17/03/2021,1115.0,1130.0,1115.0,1130.0,0.893,121013,1
16/03/2021,1105.0,1120.0,1105.0,1120.0,1.36,28177,1
15/03/2021,1105.0,1105.0,1105.0,1105.0,0,33453,1
12/03/2021,1105.0,1105.0,1105.0,1105.0,0.227,63301,1
11/03/2021,1080.0,1102.5,1080.0,1102.5,2.08,14607,1
10/03/2021,1080.0,1082.5,1080.0,1080.0,0,25581,1
09/03/2021,1065.0,1080.0,1065.0,1080.0,1.41,24988,1
08/03/2021,1060.0,1065.0,1060.0,1065.0,0.472,19743,1
05/03/2021,1055.0,1060.0,1055.0,1060.0,0.474,14776,1
04/03/2021,1055.0,1055.0,1055.0,1055.0,-1.4,18442,1
03/03/2021,1055.0,1070.0,1055.0,1070.0,1.9,260588,1
02/03/2021,1055.0,1055.0,1050.0,1050.0,-0.474,13239,1
01/03/2021,1055.0,1055.0,1055.0,1055.0,0,20684,1
26/02/2021,1055.0,1055.0,1055.0,1055.0,0,25553,1
25/02/2021,1050.0,1055.0,1050.0,1055.0,0.476,19959,1
24/02/2021,1050.0,1050.0,1050.0,1050.0,0,36037,1
23/02/2021,1050.0,1050.0,1050.0,1050.0,0,30625,1
22/02/2021,1040.0,1050.0,1040.0,1050.0,1.45,45430,1
19/02/2021,1060.0,1060.0,1035.0,1035.0,5.72,276382,1
18/02/2021,990.00,990.00,978.00,979.00,-1.11,34957,1
17/02/2021,995.00,995.00,990.00,990.00,-0.503,34143,1
16/02/2021,995.00,995.00,995.00,995.00,0,17046,1
15/02/2021,1006.0,1006.0,995.00,995.00,-1.09,59426,1
12/02/2021,1010.0,1010.0,1003.5,1006.0,-0.396,80357,1
11/02/2021,1025.0,1025.0,1006.0,1010.0,-1.46,68797,1
10/02/2021,1025.0,1025.0,1025.0,1025.0,-1.44,29203,1
09/02/2021,1025.0,1040.0,1025.0,1040.0,1.46,12122,1
08/02/2021,1025.0,1025.0,1025.0,1025.0,0,11382,1
05/02/2021,1025.0,1025.0,1025.0,1025.0,-0.485,17264,1
04/02/2021,1055.0,1055.0,1030.0,1030.0,-2.37,80968,1
03/02/2021,1057.5,1057.5,1055.0,1055.0,0,8043,1
02/02/2021,1055.0,1055.0,1055.0,1055.0,-0.472,25532,1
01/02/2021,1055.0,1060.0,1055.0,1060.0,0.474,35180,1
29/01/2021,1055.0,1055.0,1055.0,1055.0,0,13368,1
28/01/2021,1050.0,1055.0,1050.0,1055.0,0,32311,1
27/01/2021,1052.5,1060.0,1052.5,1055.0,-0.472,40742,1
26/01/2021,1052.5,1060.0,1052.5,1060.0,0.713,13130,1
25/01/2021,1050.0,1052.5,1050.0,1052.5,0.238,71561,1
22/01/2021,1050.0,1050.0,1050.0,1050.0,0,20218,1
21/01/2021,1035.0,1050.0,1035.0,1050.0,2.19,53072,1
20/01/2021,988.00,1027.5,988.00,1027.5,5.28,38907,1
19/01/2021,988.00,988.00,976.00,976.00,-1.21,22795,1
18/01/2021,986.00,988.00,986.00,988.00,0.203,16342,1
15/01/2021,986.00,986.00,986.00,986.00,-0.404,60100,1
14/01/2021,986.00,990.00,986.00,990.00,0,21660,1
13/01/2021,986.00,990.00,986.00,990.00,0,40988,1
12/01/2021,1020.0,1020.0,986.00,990.00,-2.94,53552,1
11/01/2021,1032.5,1032.5,1020.0,1020.0,0.99,31743,1
08/01/2021,1050.0,1050.0,1010.0,1010.0,-3.81,51298,1
07/01/2021,1057.5,1057.5,1050.0,1050.0,0,35480,1
06/01/2021,1057.5,1057.5,1050.0,1050.0,-0.709,57471,1
05/01/2021,1052.5,1057.5,1052.5,1057.5,-1.63,38086,1
04/01/2021,1052.5,1075.0,1052.5,1075.0,0,42456,1
31/12/2020,1050.0,1075.0,1050.0,1075.0,2.38,13214,1
30/12/2020,1047.5,1050.0,1047.5,1050.0,0.239,9594,1
29/12/2020,1040.0,1047.5,1040.0,1047.5,0.721,17236,1
24/12/2020,1030.0,1040.0,1030.0,1040.0,0,7032,1
23/12/2020,1030.0,1040.0,1030.0,1040.0,1.46,19443,1
22/12/2020,1050.0,1050.0,1025.0,1025.0,-4.21,1750146,1
21/12/2020,1050.0,1070.0,1050.0,1070.0,1.9,12261,1
18/12/2020,1050.0,1050.0,1050.0,1050.0,-0.474,27071,1
17/12/2020,1000.0,1055.0,1000.0,1055.0,7.65,356037,1
16/12/2020,970.00,980.00,970.00,980.00,1.03,19799,1
15/12/2020,970.00,970.00,970.00,970.00,0,68170,1
14/12/2020,970.00,970.00,970.00,970.00,0,45413,1
11/12/2020,970.00,970.00,970.00,970.00,0.414,24418,1
10/12/2020,965.00,970.00,965.00,966.00,0,474971,1
09/12/2020,965.00,966.00,965.00,966.00,0.104,44659,1
08/12/2020,965.00,965.00,965.00,965.00,1.58,114594,1
07/12/2020,965.00,965.00,950.00,950.00,-1.55,56553,1
04/12/2020,965.00,965.00,965.00,965.00,0.104,12998,1
03/12/2020,965.00,965.00,964.00,964.00,-0.104,12058,1
02/12/2020,965.00,965.00,965.00,965.00,0,23976,1
01/12/2020,965.00,965.00,965.00,965.00,0,22139,1
30/11/2020,970.00,970.00,965.00,965.00,-0.515,36147,1
27/11/2020,965.00,970.00,965.00,970.00,0.518,28730,1
26/11/2020,960.00,965.00,960.00,965.00,0.521,54996,1
25/11/2020,970.00,970.00,960.00,960.00,-1.03,321833,1
24/11/2020,970.00,970.00,970.00,970.00,0,61488,1
23/11/2020,930.00,970.00,930.00,970.00,4.3,286481,1
20/11/2020,930.00,930.00,930.00,930.00,0,92075,1
19/11/2020,935.00,935.00,930.00,930.00,-0.535,19580,1
18/11/2020,932.00,935.00,930.00,935.00,0.322,60680,1
17/11/2020,925.00,932.00,925.00,932.00,1.97,87058,1
16/11/2020,940.00,943.00,914.00,914.00,-4.79,49515,1
13/11/2020,979.00,979.00,945.00,960.00,-2.04,11212,1
12/11/2020,985.00,985.00,980.00,980.00,-0.508,151110,1
11/11/2020,985.00,985.00,985.00,985.00,0,39057,1
10/11/2020,985.00,985.00,985.00,985.00,0,9865,1
09/11/2020,985.00,985.00,980.00,985.00,0,251101,1
06/11/2020,987.50,987.50,985.00,985.00,-0.253,21537,1
05/11/2020,987.50,992.50,987.50,987.50,0,26538,1
04/11/2020,970.00,987.50,970.00,987.50,1.8,52930,1
03/11/2020,970.00,970.00,970.00,970.00,-1.02,66142,1
02/11/2020,970.00,980.00,970.00,980.00,1.03,19832,1
30/10/2020,970.00,970.00,965.00,970.00,0,80955,1
29/10/2020,990.00,990.00,970.00,970.00,-2.02,342904,1
28/10/2020,990.00,990.00,990.00,990.00,-0.503,97001,1
27/10/2020,995.00,995.00,995.00,995.00,0,15927,1
26/10/2020,995.00,995.00,995.00,995.00,-0.5,23848,1
23/10/2020,1005.0,1005.0,995.00,1000.0,0,20217,1
22/10/2020,980.00,1005.0,980.00,1000.0,-0.99,166145,1
21/10/2020,980.00,1010.0,980.00,1010.0,3.06,115776,1
20/10/2020,980.00,980.00,980.00,980.00,0,32671,1
19/10/2020,980.00,980.00,980.00,980.00,0,33040,1
16/10/2020,980.00,980.00,980.00,980.00,-2,109623,1
15/10/2020,970.00,1000.0,970.00,1000.0,1.01,102443,1
14/10/2020,935.00,990.00,935.00,990.00,5.88,180516,1
13/10/2020,910.00,935.00,910.00,935.00,1.63,113400,1
12/10/2020,910.00,920.00,910.00,920.00,1.1,33739,1
09/10/2020,860.00,910.00,860.00,910.00,5.81,45758,1
08/10/2020,860.00,860.00,860.00,860.00,-0.463,216401,1
07/10/2020,860.00,864.00,860.00,864.00,0.465,15287,1
06/10/2020,860.00,860.00,860.00,860.00,0,62548,1
05/10/2020,860.00,860.00,860.00,860.00,-1.15,125521,1
02/10/2020,860.00,870.00,860.00,870.00,1.16,24716,1
01/10/2020,860.00,860.00,860.00,860.00,0,315141,1
30/09/2020,855.00,865.00,855.00,860.00,1.18,27578,1
29/09/2020,835.00,855.00,835.00,850.00,1.8,18014,1
28/09/2020,830.00,835.00,830.00,835.00,0.602,148507,1
25/09/2020,830.00,830.00,830.00,830.00,0,15452,1
24/09/2020,830.00,830.00,830.00,830.00,0,6089,1
23/09/2020,830.00,830.00,830.00,830.00,0,107087,1
22/09/2020,830.00,830.00,830.00,830.00,-2.35,18381,1
21/09/2020,830.00,850.00,830.00,850.00,2.41,66372,1
18/09/2020,830.00,830.00,830.00,830.00,0,36285,1
17/09/2020,829.00,830.00,829.00,830.00,0.121,24119,1
16/09/2020,815.00,829.00,815.00,829.00,1.72,23765,1
15/09/2020,810.00,815.00,810.00,815.00,-0.61,38004,1
14/09/2020,775.00,820.00,775.00,820.00,11.6,282320,1
11/09/2020,735.00,735.00,735.00,735.00,0,14899,1
10/09/2020,735.00,735.00,735.00,735.00,0,4626,1
09/09/2020,735.00,735.00,735.00,735.00,-2,11781,1
08/09/2020,750.00,750.00,735.00,750.00,0,9763,1
07/09/2020,750.00,750.00,750.00,750.00,0,10744,1
04/09/2020,750.00,750.00,750.00,750.00,0,22869,1
03/09/2020,750.00,750.00,750.00,750.00,2.74,45828,1
02/09/2020,755.00,755.00,730.00,730.00,-5.19,16267,1
01/09/2020,755.00,770.00,755.00,770.00,0,12934,1
28/08/2020,740.00,770.00,740.00,770.00,2.67,85671,1
27/08/2020,740.00,750.00,740.00,750.00,0,6477,1
26/08/2020,740.00,750.00,740.00,750.00,0,9540,1
25/08/2020,740.00,750.00,740.00,750.00,1.35,26208,1
24/08/2020,735.00,740.00,735.00,740.00,0.68,5580,1
21/08/2020,735.00,735.00,735.00,735.00,0,20307,1
20/08/2020,720.00,740.00,720.00,735.00,2.08,122969,1
19/08/2020,715.00,720.00,715.00,720.00,0.699,15584,1
18/08/2020,715.00,715.00,715.00,715.00,0,7531,1
17/08/2020,715.00,715.00,715.00,715.00,0,31905,1
14/08/2020,715.00,715.00,715.00,715.00,0,24998,1
13/08/2020,715.00,715.00,715.00,715.00,0,39298,1
12/08/2020,710.00,715.00,710.00,715.00,0.704,28183,1
11/08/2020,710.00,710.00,710.00,710.00,0,25772,1
10/08/2020,710.00,710.00,710.00,710.00,0,725,1
07/08/2020,715.00,715.00,710.00,710.00,0,3020,1
06/08/2020,710.00,710.00,710.00,710.00,0,57165,1
05/08/2020,710.00,710.00,710.00,710.00,0,58958,1
04/08/2020,720.00,720.00,710.00,710.00,-1.39,39684,1
03/08/2020,720.00,720.00,720.00,720.00,0,10748,1
31/07/2020,720.00,720.00,720.00,720.00,0,16129,1
30/07/2020,720.00,720.00,720.00,720.00,0,3527,1
29/07/2020,708.00,720.00,708.00,720.00,1.69,67897,1
28/07/2020,705.00,708.00,705.00,708.00,0.426,25682,1
27/07/2020,735.00,735.00,705.00,705.00,-2.08,93057,1
24/07/2020,750.00,750.00,720.00,720.00,-4,32893,1
23/07/2020,730.00,755.00,730.00,750.00,1.9,29069,1
22/07/2020,725.00,736.00,725.00,736.00,1.52,30775,1
21/07/2020,690.00,725.00,690.00,725.00,5.07,22583,1
20/07/2020,690.00,690.00,690.00,690.00,0,16321,1
17/07/2020,690.00,690.00,690.00,690.00,0,6327,1
16/07/2020,690.00,690.00,690.00,690.00,0,16892,1
15/07/2020,690.00,690.00,690.00,690.00,0,75540,1
14/07/2020,690.00,690.00,690.00,690.00,0,5526,1
13/07/2020,690.00,690.00,690.00,690.00,0,9654,1
10/07/2020,660.00,690.00,660.00,690.00,8.66,756285,1
09/07/2020,635.00,635.00,635.00,635.00,0,54367,1
08/07/2020,635.00,635.00,635.00,635.00,0,7351,1
07/07/2020,635.00,635.00,635.00,635.00,0,15780,1
06/07/2020,635.00,635.00,635.00,635.00,0,166541,1
03/07/2020,635.00,635.00,635.00,635.00,0,159,1
02/07/2020,635.00,635.00,635.00,635.00,0,3669,1
01/07/2020,635.00,635.00,635.00,635.00,0,47561,1
30/06/2020,635.00,635.00,635.00,635.00,0,234095,1
29/06/2020,635.00,635.00,635.00,635.00,0,62814,1
26/06/2020,635.00,635.00,635.00,635.00,-2.31,6047,1
25/06/2020,635.00,650.00,635.00,650.00,2.36,13016,1
24/06/2020,645.00,645.00,635.00,635.00,-1.55,28918,1
23/06/2020,645.00,645.00,645.00,645.00,-3.73,23067,1
22/06/2020,645.00,670.00,645.00,670.00,3.88,3831,1
19/06/2020,645.00,645.00,645.00,645.00,0,2382,1
18/06/2020,645.00,645.00,645.00,645.00,0,11742,1
17/06/2020,645.00,645.00,645.00,645.00,0,191633,1
16/06/2020,645.00,645.00,645.00,645.00,0,3265,1
15/06/2020,650.00,650.00,645.00,645.00,0,202510,1
12/06/2020,645.00,645.00,645.00,645.00,0,81,1
11/06/2020,645.00,645.00,645.00,645.00,0,265489,1
