Date,Name,TIDM,Shares,Price,Cost,Charges,Stamp duty,Value,Unrealised,profit,% Return,% Annual
1/4/21,Sell,MGNS,120,17.7386,1534.2,11.95,,2116.68,,582.48,38.0,
1/4/21,Position Closed,MGNS,0,,,35.85,7.51,,,651.13,43.7,20.1
4/5/21,AstraZeneca PLC,AZN,0,,,23.9,7.46,,,-96.51,-6.4,-7.1
9/6/20,Buy,AZN,18,82.8644,1510.97,11.95,7.46,0,0,0,0.0,
14/9/20,Dividend,AZN,18,0.696111,0,,,12.53,,12.53,,
29/3/21,Dividend,AZN,18,1.37389,0,,,24.73,,24.73,,
4/5/21,Sell,AZN,18,77.175,1510.97,11.95,,1377.2,,-133.77,-8.9,
4/5/21,Position Closed,AZN,0,,,23.9,7.46,,,-96.51,-6.4,-7.1
4/5/21,Avon Protection PLC,AVON,0,,,23.9,7.42,,,-184.14,-12.2,-18.2
8/9/20,Buy,AVON,40,37.1243,1504.34,11.95,7.42,0,0,0,0.0,
12/3/21,Dividend,AVON,40,0.1805,0,,,7.22,,7.22,,
4/5/21,Sell,AVON,40,33.1232,1504.34,11.95,,1312.98,,-191.36,-12.7,
4/5/21,Position Closed,AVON,0,,,23.9,7.42,,,-184.14,-12.2,-18.2
4/5/21,British American Tobacco PLC,BATS,0,,,35.85,7.43,,,33.36,2.3,1.3
13/8/19,Buy,BATS,33,30.1076,1010.47,11.95,4.97,0,0,0,0.0,
14/11/19,Dividend,BATS,33,0.507576,0,,,16.75,,16.75,,
6/2/20,Dividend,BATS,33,0.507576,0,,,16.75,,16.75,,
13/5/20,Dividend,BATS,33,0.526061,0,,,17.36,,17.36,,
11/8/20,Buy,BATS,19,25.9289,507.06,11.95,2.46,0,0,0,0.0,
19/8/20,Dividend,BATS,52,0.333846,0,,,17.36,,17.36,,
12/11/20,Dividend,BATS,52,0.525962,0,,,27.35,,27.35,,
3/2/21,Dividend,BATS,52,0.525962,0,,,27.35,,27.35,,
4/5/21,Sell,BATS,52,27.1517,1517.53,11.95,,1399.94,,-117.59,-7.7,
12/5/21,Dividend,BATS,59,0.475085,0,,,28.03,,28.03,,
4/5/21,Position Closed,BATS,0,,,35.85,7.43,,,33.36,2.3,1.3
4/5/21,Petropavlovsk PLC,POG,0,,,23.9,7.5,,,-86.83,-5.7,-5.8
12/5/20,Buy,POG,5566,0.269468,1519.31,11.95,7.5,0,0,0,0.0,
4/5/21,Sell,POG,5566,0.25951,1519.31,11.95,,1432.48,,-86.83,-5.7,
4/5/21,Position Closed,POG,0,,,23.9,7.5,,,-86.83,-5.7,-5.8
4/5/21,Spirent Communications PLC,SPT,0,,,23.9,7.5,,,-219.97,-14.5,-24.5
13/10/20,Buy,SPT,500,2.99896,1518.93,11.95,7.5,0,0,0,0.0,
30/4/21,Dividend,SPT,500,0.0818,0,,,40.9,,40.9,,
4/5/21,Sell,SPT,500,2.54002,1518.93,11.95,,1258.06,,-260.87,-17.2,
4/5/21,Position Closed,SPT,0,,,23.9,7.5,,,-219.97,-14.5,-24.5
1/6/21,IQE PLC,IQE,0,,,20.9,,,,-443.89,-29.4,-59.6
12/1/21,Buy,IQE,2006,0.747742,1511.92,11.95,,0,0,0,0.0,
1/6/21,Sell,IQE,2006,0.536879,1511.92,8.95,,1068.03,,-443.89,-29.4,
1/6/21,Position Closed,IQE,0,,,20.9,,,,-443.89,-29.4,-59.6
2/8/21,Playtech PLC,PTEC,0,,,23.9,,,,-232.18,-23.0,-40.8
1/2/21,Buy,PTEC,213,4.68507,1009.87,11.95,,0,0,0,0.0,
2/8/21,Sell,PTEC,213,3.70723,1009.87,11.95,,777.69,,-232.18,-23.0,
2/8/21,Position Closed,PTEC,0,,,23.9,,,,-232.18,-23.0,-40.8
1/9/21,Augean PLC,AUG#1,0,,,20.9,,,,418.3,15.7,78.7
1/6/21,Buy,AUG#1,931,2.844,2656.71,8.95,,0,0,0,0.0,
1/9/21,Sell,AUG#1,931,3.31575,2656.71,11.95,,3075.01,,418.3,15.7,
1/9/21,Position Closed,AUG#1,0,,,20.9,,,,418.3,15.7,78.7
1/9/21,Stock Spirits Group PLC,STCK#1,0,,,35.85,15,,,1754.28,59.7,51.2
14/7/20,Buy,STCK#1,646,2.3218,1519.33,11.95,7.5,0,0,0,0.0,
19/2/21,Dividend,STCK#1,646,0.156502,0,,,101.1,,101.1,,
4/5/21,Buy,STCK#1,546,2.7461,1518.82,11.95,7.5,0,0,0,0.0,
18/6/21,Dividend,STCK#1,1192,0.025604,0,,,30.52,,30.52,,
1/9/21,Sell,STCK#1,1192,3.9201,3038.15,11.95,,4660.81,,1622.66,53.4,
1/9/21,Position Closed,STCK#1,0,,,35.85,15,,,1754.28,59.7,51.2
1/10/21,Ferrexpo PLC,FXPO,0,,,35.85,14.98,,,2257.09,87.7,57.4
12/5/20,Buy,FXPO,1079,1.38991,1519.16,11.95,7.5,0,0,0,0.0,
2/7/20,Dividend,FXPO,1079,0.0171548,0,,,18.51,,18.51,,
6/7/20,Dividend,FXPO,1079,0.0338647,0,,,36.54,,36.54,,
26/8/20,Dividend,FXPO,1079,0.032836,0,,,35.43,,35.43,,
8/10/20,Dividend,FXPO,1079,0.0328823,0,,,35.48,,35.48,,
28/1/21,Dividend,FXPO,1079,0.0630491,0,,,68.03,,68.03,,
15/4/21,Dividend,FXPO,1079,0.18481,0,,,199.41,,199.41,,
1/7/21,Dividend,FXPO,1425,0.0472351,0,,,67.31,,67.31,,
1/7/21,Buy,FXPO,346,4.32312,1515.23,11.95,7.48,0,0,0,0.0,
26/8/21,Dividend,FXPO,1425,0.185004,0,,,263.63,,263.63,,
1/10/21,Sell,FXPO,1425,3.2134,3034.39,11.95,,4567.14,,1532.75,50.5,
1/10/21,Position Closed,FXPO,0,,,35.85,14.98,,,2257.09,87.7,57.4
1/10/21,Surgical Innovations Group PLC,SUN,0,,,35.85,,,,-415.31,-13.7,-22.3
1/3/21,Buy,SUN,62240,0.0240999,1511.93,11.95,,0,0,0,0.0,
1/7/21,Buy,SUN,46948,0.03195,1511.94,11.95,,0,0,0,0.0,
1/10/21,Sell,SUN,109188,0.024,3023.87,11.95,,2608.56,,-415.31,-13.7,
1/10/21,Position Closed,SUN,0,,,35.85,,,,-415.31,-13.7,-22.3
1/12/21,Genus PLC,GNS,0,,,23.9,7.36,,,318.33,21.4,18.6
13/10/20,Buy,GNS,37,39.7689,1490.76,11.95,7.36,0,0,0,0.0,
11/12/20,Dividend,GNS,37,0.197027,0,,,7.29,,7.29,,
1/4/21,Dividend,GNS,37,0.102973,0,,,3.81,,3.81,,
1/12/21,Sell,GNS,37,48.7002,1490.76,11.95,,1789.96,,299.2,20.1,
10/12/21,Dividend,GNS,37,0.217027,0,,,8.03,,8.03,,
1/12/21,Position Closed,GNS,0,,,23.9,7.36,,,318.33,21.4,18.6
1/12/21,Premier Foods PLC,PFD,0,,,35.85,14.45,,,155.33,5.3,3.8
14/7/20,Buy,PFD,1696,0.883998,1518.71,11.95,7.5,0,0,0,0.0,
2/8/21,Buy,PFD,1268,1.0957,1408.25,11.95,6.95,0,0,0,0.0,
3/8/21,Dividend,PFD,2964,0.005722,0,,,16.96,,16.96,,
1/12/21,Sell,PFD,2964,1.03822,2926.96,11.95,,3065.33,,138.37,4.7,
1/12/21,Position Closed,PFD,0,,,35.85,14.45,,,155.33,5.3,3.8
4/1/22,Breedon Group PLC,BREE,0,,,23.9,,,,-110.33,-7.3,-10.7
4/5/21,Buy,BREE,1457,1.02912,1511.38,11.95,,0,0,0,0.0,
10/9/21,Dividend,BREE,1457,0.00500343,0,,,7.29,,7.29,,
4/1/22,Sell,BREE,1457,0.964798,1511.38,11.95,,1393.76,,-117.62,-7.8,
4/1/22,Position Closed,BREE,0,,,23.9,,,,-110.33,-7.3,-10.7
4/1/22,CareTech Holdings PLC,CTH,0,,,35.85,,,,26.27,0.9,0.9
12/1/21,Buy,CTH,287,5.22547,1511.66,11.95,,0,0,0,0.0,
5/5/21,Dividend,CTH,287,0.0874913,0,,,25.11,,25.11,,
1/9/21,Buy,CTH,231,6.47398,1507.44,11.95,,0,0,0,0.0,
19/11/21,Dividend,CTH,518,0.0460039,0,,,23.83,,23.83,,
4/1/22,Sell,CTH,518,5.80768,3019.1,11.95,,2996.43,,-22.67,-0.8,
4/1/22,Position Closed,CTH,0,,,35.85,,,,26.27,0.9,0.9
18/1/22,Blancco Technology Group PLC,BLTG,0,,,23.9,,,,-332.52,-22.0,-24.5
1/3/21,Buy,BLTG,520,2.88,1509.55,11.95,,0,0,0,0.0,
18/1/22,Sell,BLTG,520,2.2865,1509.55,11.95,,1177.03,,-332.52,-22.0,
18/1/22,Position Closed,BLTG,0,,,23.9,,,,-332.52,-22.0,-24.5
1/2/22,Discoverie Group PLC,DSCV,0,,,47.8,22.43,,,523.28,11.6,8.2
8/9/20,Buy,DSCV,248,6.04181,1517.81,11.95,7.49,0,0,0,0.0,
15/1/21,Dividend,DSCV,248,0.0314919,0,,,7.81,,7.81,,
4/5/21,Buy,DSCV,189,7.90328,1513.14,11.95,7.47,0,0,0,0.0,
3/8/21,Dividend,DSCV,437,0.07,0,,,30.59,,30.59,,
1/9/21,Buy,DSCV,149,10.0204,1512.46,11.95,7.47,0,0,0,0.0,
14/1/22,Dividend,DSCV,586,0.0334983,0,,,19.63,,19.63,,
1/2/22,Sell,DSCV,586,8.56759,4543.41,11.95,,5008.66,,465.25,10.2,
1/2/22,Position Closed,DSCV,0,,,47.8,22.43,,,523.28,11.6,8.2
1/2/22,Hill & Smith Holdings PLC,HILS,0,,,23.9,7.45,,,-137.66,-9.1,-17.4
2/8/21,Buy,HILS,91,16.3643,1508.55,11.95,7.45,0,0,0,0.0,
7/1/22,Dividend,HILS,91,0.12,0,,,10.92,,10.92,,
1/2/22,Sell,HILS,91,15.076,1508.55,11.95,,1359.97,,-148.58,-9.8,
1/2/22,Position Closed,HILS,0,,,23.9,7.45,,,-137.66,-9.1,-17.4
1/2/22,JD Sports Fashion PLC,JD.,0,,,23.9,7.46,,,-161.41,-10.7,-23.6
1/9/21,Buy,JD.,144,10.355,1510.53,11.95,7.46,0,0,0,0.0,
30/11/21,Split,JD.,720,,,,,,,,,
1/2/22,Sell,JD.,720,1.89037,1510.53,11.95,,1349.12,,-161.41,-10.7,
1/2/22,Position Closed,JD.,0,,,23.9,7.46,,,-161.41,-10.7,-23.6
1/2/22,Oxford Instruments PLC,OXIG,0,,,35.85,14.92,,,267.76,8.9,7.7
8/12/20,Buy,OXIG,80,18.7243,1517.38,11.95,7.49,0,0,0,0.0,
14/4/21,Dividend,OXIG,150,0.0218667,0,,,3.28,,3.28,,
4/5/21,Buy,OXIG,70,21.2337,1505.74,11.95,7.43,0,0,0,0.0,
15/10/21,Dividend,OXIG,150,0.129,0,,,19.35,,19.35,,
14/1/22,Dividend,OXIG,150,0.044,0,,,6.6,,6.6,,
1/2/22,Sell,OXIG,150,21.824,3023.12,11.95,,3261.65,,238.53,7.9,
1/2/22,Position Closed,OXIG,0,,,35.85,14.92,,,267.76,8.9,7.7
1/2/22,Rentokil Initial PLC,RTO,0,,,23.9,7.47,,,-198.59,-13.1,-28.5
1/9/21,Buy,RTO,256,5.8391,1514.23,11.95,7.47,0,0,0,0.0,
1/2/22,Sell,RTO,256,5.1859,1514.23,11.95,,1315.64,,-198.59,-13.1,
1/2/22,Position Closed,RTO,0,,,23.9,7.47,,,-198.59,-13.1,-28.5
1/2/22,Rolls-Royce Group PLC,RR.,0,,,23.9,14.69,,,-491.81,-16.6,-41.6
1/10/21,Buy,RR.,2141,1.3724,2964.95,11.95,14.69,0,0,0,0.0,
1/2/22,Sell,RR.,2141,1.16071,2964.95,11.95,,2473.14,,-491.81,-16.6,
1/2/22,Position Closed,RR.,0,,,23.9,14.69,,,-491.81,-16.6,-41.6
1/2/22,Spirax-Sarco Engineering PLC,SPX,0,,,23.9,7.47,,,499.93,33.0,18.9
9/6/20,Buy,SPX,15,99.6093,1513.56,11.95,7.47,0,0,0,0.0,
6/11/20,Dividend,SPX,15,0.335333,0,,,5.03,,5.03,,
21/5/21,Dividend,SPX,15,0.845333,0,,,12.68,,12.68,,
12/11/21,Dividend,SPX,15,0.385333,0,,,5.78,,5.78,,
1/2/22,Sell,SPX,15,133.463,1513.56,11.95,,1990,,476.44,31.5,
1/2/22,Position Closed,SPX,0,,,23.9,7.47,,,499.93,33.0,18.9
1/3/22,DR Horton Inc,DHI,0,,,76.72,,,,-752.72,-24.9,-73.8
13/12/21,Buy,DHI,36,82.8275,3023.56,41.77,,0,0,0,0.0,
1/3/22,Dividend,DHI,36,0.165833,0,,,5.97,,5.97,,
1/3/22,Sell,DHI,36,63.8839,3023.56,34.95,,2264.87,,-758.69,-25.1,
1/3/22,Position Closed,DHI,0,,,76.72,,,,-752.72,-24.9,-73.8
1/3/22,Future PLC,FUTR,0,,,35.85,14.82,,,458,15.3,11.5
10/11/20,Buy,FUTR,75,19.786,1503.32,11.95,7.42,0,0,0,0.0,
16/2/21,Dividend,FUTR,75,0.016,0,,,1.2,,1.2,,
4/5/21,Buy,FUTR,63,23.5038,1500.09,11.95,7.4,0,0,0,0.0,
9/2/22,Dividend,FUTR,138,0.027971,0,,,3.86,,3.86,,
1/3/22,Sell,FUTR,138,25.1326,3003.41,11.95,,3456.35,,452.94,15.1,
1/3/22,Position Closed,FUTR,0,,,35.85,14.82,,,458,15.3,11.5
1/3/22,Instem Life Science Systems PLC,INS,0,,,35.85,,,,-237.38,-7.9,-8.6
1/4/21,Buy,INS,234,6.4,1509.55,11.95,,0,0,0,0.0,
4/11/21,Buy,INS,181,8.25,1505.2,11.95,,0,0,0,0.0,
1/3/22,Sell,INS,415,6.72125,3014.75,11.95,,2777.37,,-237.38,-7.9,
1/3/22,Position Closed,INS,0,,,35.85,,,,-237.38,-7.9,-8.6
1/3/22,Smurfit Kappa Group PLC,SKG,0,,,47.8,29.82,,,550.91,18.6,6.9
13/8/19,Buy,SKG,41,24.3551,1020.5,11.95,9.99,0,0,0,0.0,
25/10/19,Dividend,SKG,41,0.200488,0,,,8.22,,8.22,,
11/8/20,Buy,SKG,18,27.2161,506.74,11.95,4.9,0,0,0,0.0,
15/9/20,Dividend,SKG,59,0.547966,0,,,32.33,,32.33,,
11/12/20,Dividend,SKG,59,0.187288,0,,,11.05,,11.05,,
12/5/21,Dividend,SKG,59,0.557966,0,,,32.92,,32.92,,
1/7/21,Buy,SKG,38,39.2971,1520.17,11.95,14.93,0,0,0,0.0,
26/10/21,Dividend,SKG,97,0.183196,0,,,17.77,,17.77,,
1/3/22,Sell,SKG,97,36.1647,3047.41,11.95,,3496.03,,448.62,14.7,
1/3/22,Position Closed,SKG,0,,,47.8,29.82,,,550.91,18.6,6.9
1/3/22,Treatt PLC,TET,0,,,23.9,7.49,,,762.99,50.3,36.7
10/11/20,Buy,TET,234,6.4,1517.04,11.95,7.49,0,0,0,0.0,
18/3/21,Dividend,TET,234,0.0415812,0,,,9.73,,9.73,,
12/8/21,Dividend,TET,234,0.02,0,,,4.68,,4.68,,
1/3/22,Sell,TET,234,9.67821,1517.04,11.95,,2252.75,,735.71,48.5,
17/3/22,Dividend,TET,234,0.055,0,,,12.87,,12.87,,
1/3/22,Position Closed,TET,0,,,23.9,7.49,,,762.99,50.3,36.7
1/4/22,Renew Holdings PLC,RNWH,0,,,35.85,,,,9.87,0.3,0.4
4/5/21,Buy,RNWH,237,6.32,1509.79,11.95,,0,0,0,0.0,
15/7/21,Dividend,RNWH,237,0.0483122,0,,,11.45,,11.45,,
1/11/21,Buy,RNWH,197,7.61703,1512.5,11.95,,0,0,0,0.0,
4/3/22,Dividend,RNWH,434,0.111705,0,,,48.48,,48.48,,
1/4/22,Sell,RNWH,434,6.87599,3022.29,11.95,,2972.23,,-50.06,-1.7,
1/4/22,Position Closed,RNWH,0,,,35.85,,,,9.87,0.3,0.4
19/4/22,Brickability Group PLC,BRCK,0,,,35.85,,,,243.59,8.1,7.7
1/4/21,Buy,BRCK,1854,0.809002,1511.84,11.95,,0,0,0,0.0,
23/9/21,Dividend,BRCK,1854,0.0108522,0,,,20.12,,20.12,,
14/1/22,Buy,BRCK,1516,0.984499,1504.45,11.95,,0,0,0,0.0,
24/2/22,Dividend,BRCK,3370,0.00959941,0,,,32.35,,32.35,,
19/4/22,Sell,BRCK,3370,0.9553,3016.29,11.95,,3207.41,,191.12,6.3,
19/4/22,Position Closed,BRCK,0,,,35.85,,,,243.59,8.1,7.7
19/4/22,Watches Of Switzerland Group PLC,WOSG,0,,,47.8,22.48,,,2356.99,51.7,35.9
8/12/20,Buy,WOSG,291,5.14866,1517.7,11.95,7.49,0,0,0,0.0,
4/5/21,Buy,WOSG,207,7.22952,1515.94,11.95,7.48,0,0,0,0.0,
10/1/22,Buy,WOSG,106,14.1719,1521.68,11.95,7.51,0,0,0,0.0,
19/4/22,Sell,WOSG,604,11.464,4555.32,11.95,,6912.31,,2356.99,51.7,
19/4/22,Position Closed,WOSG,0,,,47.8,22.48,,,2356.99,51.7,35.9
23/5/22,iShares S&P Timber and Forestry,WOOD,0,,,35.85,,,,-229.2,-3.0,-43.2
3/5/22,Buy,WOOD,296,25.3879,7526.76,11.95,,0,0,0,0.0,
16/5/22,Sell,WOOD,222,24.3548,5645.07,11.95,,5394.82,,-250.25,-4.4,
23/5/22,Sell,WOOD,74,23.9946,1881.69,11.95,,1763.65,,-118.04,-6.3,
25/5/22,Dividend,WOOD,296,0.469899,0,,,139.09,,139.09,,
23/5/22,Position Closed,WOOD,0,,,35.85,,,,-229.2,-3.0,-43.2
20/6/22,Chemring Group PLC,CHG,0,,,23.9,45.9,,,-1255.85,-13.6,-71.9
9/5/22,Buy,CHG,2532,3.62592,9238.69,11.95,45.9,0,0,0,0.0,
20/6/22,Sell,CHG,2532,3.1575,9238.69,11.95,,7982.84,,-1255.85,-13.6,
20/6/22,Position Closed,CHG,0,,,23.9,45.9,,,-1255.85,-13.6,-71.9
29/6/22,Centrica PLC,CNA,1250,0.8199,755.3,47.8,14.97,1024.88,269.58,903.32,29.9,44.2
11/10/21,Buy,CNA,5000,0.598856,3021.2,11.95,14.97,1024.88,269.58,269.58,35.7,
20/4/22,Sell,CNA,1250,0.786584,755.3,11.95,,971.28,,215.98,28.6,
30/5/22,Sell,CNA,1250,0.77346,755.3,11.95,,954.88,,199.58,26.4,
20/6/22,Sell,CNA,1250,0.788352,755.3,11.95,,973.49,,218.19,28.9,
29/6/22,Latest,CNA,1250,0.8199,755.3,47.8,14.97,1024.88,269.58,903.32,29.9,44.2
29/6/22,Go-Ahead Group (The) PLC,GOG,392,15.83,4707.95,11.95,23.36,6205.36,1497.41,1497.41,31.8,>10000
13/6/22,Buy,GOG,392,11.92,4707.95,11.95,23.36,6205.36,1497.41,1497.41,31.8,
29/6/22,Latest,GOG,392,15.83,4707.95,11.95,23.36,6205.36,1497.41,1497.41,31.8,>10000
29/6/22,Homeserve PLC,HSV,564,11.665,6063.2,11.95,30.11,6579.06,515.86,515.86,8.5,97.0
16/5/22,Buy,HSV,564,10.6758,6063.2,11.95,30.11,6579.06,515.86,515.86,8.5,
29/6/22,Latest,HSV,564,11.665,6063.2,11.95,30.11,6579.06,515.86,515.86,8.5,97.0
29/6/22,Ienergizer Ltd,IBPO,888,4.755,3731.59,35.85,,4222.44,490.85,130.73,1.8,10.3
25/4/22,Buy,IBPO,1774,4.1955,7454.77,11.95,,4222.44,490.85,490.85,13.2,
13/5/22,Sell,IBPO,443,3.9005,1861.59,11.95,,1715.97,,-145.62,-7.8,
27/5/22,Sell,IBPO,443,3.745,1861.59,11.95,,1647.09,,-214.51,-11.5,
29/6/22,Latest,IBPO,888,4.755,3731.59,35.85,,4222.44,490.85,130.73,1.8,10.3
29/6/22,Man Group PLC,EMG,1624,2.498,4192.16,23.9,,4056.75,-135.41,-464.65,-5.5,-50.1
30/5/22,Buy,EMG,3248,2.5777,8384.32,11.95,,4056.75,-135.41,-135.41,-3.2,
20/6/22,Sell,EMG,1624,2.386,4192.16,11.95,,3862.91,,-329.25,-7.9,
29/6/22,Latest,EMG,1624,2.498,4192.16,23.9,,4056.75,-135.41,-464.65,-5.5,-50.1
29/6/22,Photo-Me International PLC,PHTM,10676,0.765,8698.46,11.95,43.22,8167.14,-531.32,-531.32,-6.1,-76.3
13/6/22,Buy,PHTM,10676,0.8096,8698.46,11.95,43.22,8167.14,-531.32,-531.32,-6.1,
29/6/22,Latest,PHTM,10676,0.765,8698.46,11.95,43.22,8167.14,-531.32,-531.32,-6.1,-76.3
Total,,,,,28148.66,2173.92,588.31,30255.63,2106.97,3930.17,,
